SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES
01-001-001,01,BUDAPEST,001,Budapest I.ker.
01-001-002,01,BUDAPEST,001,Budapest I.ker.
01-001-003,01,BUDAPEST,001,Budapest I.ker.
01-001-004,01,BUDAPEST,001,Budapest I.ker.
01-001-005,01,BUDAPEST,001,Budapest I.ker.
01-001-006,01,BUDAPEST,001,Budapest I.ker.
01-001-007,01,BUDAPEST,001,Budapest I.ker.
01-001-008,01,BUDAPEST,001,Budapest I.ker.
01-001-009,01,BUDAPEST,001,Budapest I.ker.
01-001-010,01,BUDAPEST,001,Budapest I.ker.
01-001-011,01,BUDAPEST,001,Budapest I.ker.
01-001-012,01,BUDAPEST,001,Budapest I.ker.
01-001-013,01,BUDAPEST,001,Budapest I.ker.
01-001-014,01,BUDAPEST,001,Budapest I.ker.
01-001-015,01,BUDAPEST,001,Budapest I.ker.
01-001-016,01,BUDAPEST,001,Budapest I.ker.
01-001-017,01,BUDAPEST,001,Budapest I.ker.
01-001-018,01,BUDAPEST,001,Budapest I.ker.
01-001-019,01,BUDAPEST,001,Budapest I.ker.
01-001-020,01,BUDAPEST,001,Budapest I.ker.
01-002-001,01,BUDAPEST,002,Budapest II.ker.
01-002-002,01,BUDAPEST,002,Budapest II.ker.
01-002-003,01,BUDAPEST,002,Budapest II.ker.
01-002-004,01,BUDAPEST,002,Budapest II.ker.
01-002-005,01,BUDAPEST,002,Budapest II.ker.
01-002-006,01,BUDAPEST,002,Budapest II.ker.
01-002-007,01,BUDAPEST,002,Budapest II.ker.
01-002-008,01,BUDAPEST,002,Budapest II.ker.
01-002-009,01,BUDAPEST,002,Budapest II.ker.
01-002-010,01,BUDAPEST,002,Budapest II.ker.
01-002-011,01,BUDAPEST,002,Budapest II.ker.
01-002-012,01,BUDAPEST,002,Budapest II.ker.
01-002-013,01,BUDAPEST,002,Budapest II.ker.
01-002-014,01,BUDAPEST,002,Budapest II.ker.
01-002-015,01,BUDAPEST,002,Budapest II.ker.
01-002-016,01,BUDAPEST,002,Budapest II.ker.
01-002-017,01,BUDAPEST,002,Budapest II.ker.
01-002-018,01,BUDAPEST,002,Budapest II.ker.
01-002-019,01,BUDAPEST,002,Budapest II.ker.
01-002-020,01,BUDAPEST,002,Budapest II.ker.
01-002-021,01,BUDAPEST,002,Budapest II.ker.
01-002-022,01,BUDAPEST,002,Budapest II.ker.
01-002-023,01,BUDAPEST,002,Budapest II.ker.
01-002-024,01,BUDAPEST,002,Budapest II.ker.
01-002-025,01,BUDAPEST,002,Budapest II.ker.
01-002-026,01,BUDAPEST,002,Budapest II.ker.
01-002-027,01,BUDAPEST,002,Budapest II.ker.
01-002-028,01,BUDAPEST,002,Budapest II.ker.
01-002-029,01,BUDAPEST,002,Budapest II.ker.
01-002-030,01,BUDAPEST,002,Budapest II.ker.
01-002-031,01,BUDAPEST,002,Budapest II.ker.
01-002-032,01,BUDAPEST,002,Budapest II.ker.
