TIPUS,VALASZTAS,MEGYE,TELEPULES,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2019EP,BUDAPEST,Budapest I. kerület,001,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest I. kerület,002,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest I. kerület,003,MSZP-PARBESZED,66
Listas,2019EP,BUDAPEST,Budapest I. kerület,004,MSZP-PARBESZED,32
Listas,2019EP,BUDAPEST,Budapest I. kerület,005,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest I. kerület,006,MSZP-PARBESZED,68
Listas,2019EP,BUDAPEST,Budapest I. kerület,007,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest I. kerület,008,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest I. kerület,009,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest I. kerület,010,MSZP-PARBESZED,64
Listas,2019EP,BUDAPEST,Budapest I. kerület,011,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest I. kerület,012,MSZP-PARBESZED,61
Listas,2019EP,BUDAPEST,Budapest I. kerület,013,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest I. kerület,014,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest I. kerület,015,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest I. kerület,016,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest I. kerület,017,MSZP-PARBESZED,58
Listas,2019EP,BUDAPEST,Budapest I. kerület,018,MSZP-PARBESZED,67
Listas,2019EP,BUDAPEST,Budapest I. kerület,019,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest I. kerület,020,MSZP-PARBESZED,58
Listas,2019EP,BUDAPEST,Budapest II. kerület,001,MSZP-PARBESZED,46
Listas,2019EP,BUDAPEST,Budapest II. kerület,002,MSZP-PARBESZED,59
Listas,2019EP,BUDAPEST,Budapest II. kerület,003,MSZP-PARBESZED,24
Listas,2019EP,BUDAPEST,Budapest II. kerület,004,MSZP-PARBESZED,64
Listas,2019EP,BUDAPEST,Budapest II. kerület,005,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest II. kerület,006,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest II. kerület,007,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest II. kerület,008,MSZP-PARBESZED,50
