SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK14,OEVK26
01-001-001,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-002,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-003,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-004,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-005,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-006,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-007,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-008,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-009,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-010,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-011,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-012,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-013,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-014,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-015,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-016,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-017,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-018,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-019,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-001-020,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01,01
01-002-001,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-002,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-003,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-004,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-005,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-006,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-007,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-008,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-009,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-010,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-011,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-012,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-013,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-014,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-015,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-016,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-017,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-018,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-019,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-020,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-021,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
01-002-022,01,BUDAPEST,04,Budapest,02,002,Budapest II. kerület,04,04
