JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,HATARIDOBEN_BEERKEZETT_SZAVAZASI_IRATOK,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
227666,01-001-001,1003,827,827,0,12,815,EGYENI,,,
227668,01-001-002,940,776,776,0,10,766,EGYENI,,,
227670,01-001-003,907,612,612,0,3,609,EGYENI,,,
227672,01-001-004,1288,784,783,-1,13,770,EGYENI,,,
227674,01-001-005,871,702,701,-1,3,698,EGYENI,,,
227676,01-001-006,936,774,774,0,4,770,EGYENI,,,
227678,01-001-007,837,671,671,0,3,668,EGYENI,,,
227680,01-001-008,843,674,671,-3,6,665,EGYENI,,,
227682,01-001-009,953,756,755,-1,7,748,EGYENI,,,
227684,01-001-010,901,718,717,-1,9,708,EGYENI,,,
227686,01-001-011,889,742,742,0,2,740,EGYENI,,,
227688,01-001-012,940,753,753,0,5,748,EGYENI,,,
227690,01-001-013,984,777,777,0,7,770,EGYENI,,,
227692,01-001-014,997,812,812,0,3,809,EGYENI,,,
227694,01-001-015,896,702,702,0,2,700,EGYENI,,,
227696,01-001-016,832,677,678,1,14,664,EGYENI,,,
227698,01-001-017,972,769,769,0,7,762,EGYENI,,,
227700,01-001-018,954,753,750,-3,2,748,EGYENI,,,
227702,01-001-019,893,693,697,4,31,666,EGYENI,,,
227704,01-001-020,848,667,667,0,6,661,EGYENI,,,
227706,01-002-001,976,763,762,-1,4,758,EGYENI,,,
227708,01-002-002,866,680,680,0,8,672,EGYENI,,,
227710,01-002-003,653,508,508,0,8,500,EGYENI,,,
227712,01-002-004,994,764,763,-1,8,755,EGYENI,,,
227714,01-002-005,1038,857,856,-1,7,849,EGYENI,,,
227716,01-002-006,847,689,688,-1,9,679,EGYENI,,,
227718,01-002-007,770,650,650,0,1,649,EGYENI,,,
227720,01-002-008,859,711,711,0,2,709,EGYENI,,,
227722,01-002-009,803,643,643,0,7,636,EGYENI,,,
227724,01-002-010,4640,4244,4181,-63,18,4163,EGYENI,,,
227726,01-002-011,573,462,462,0,6,456,EGYENI,,,
227728,01-002-012,927,775,774,-1,5,769,EGYENI,,,
227730,01-002-013,638,500,499,-1,2,497,EGYENI,,,
227732,01-002-014,808,660,659,-1,3,656,EGYENI,,,
227734,01-002-015,731,609,609,0,6,603,EGYENI,,,
227736,01-002-016,1098,732,731,-1,3,728,EGYENI,,,
227738,01-002-017,818,686,686,0,8,678,EGYENI,,,
227740,01-002-018,703,586,586,0,5,581,EGYENI,,,
227742,01-002-019,836,681,683,2,16,667,EGYENI,,,
227744,01-002-020,786,650,651,1,10,641,EGYENI,,,
227746,01-002-021,804,675,675,0,2,673,EGYENI,,,
227748,01-002-022,801,674,674,0,6,668,EGYENI,,,
227750,01-002-023,852,702,702,0,5,697,EGYENI,,,
227752,01-002-024,952,760,760,0,0,760,EGYENI,,,
227754,01-002-025,826,688,688,0,3,685,EGYENI,,,
227756,01-002-026,824,701,700,-1,3,697,EGYENI,,,
227758,01-002-027,703,576,576,0,2,574,EGYENI,,,
227760,01-002-028,650,539,538,-1,5,533,EGYENI,,,
227762,01-002-029,478,383,382,-1,3,379,EGYENI,,,
227764,01-002-030,548,425,426,1,8,418,EGYENI,,,
227766,01-002-031,1054,834,834,0,5,829,EGYENI,,,
