TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2024EP,01-001-001,MEMO,8
Listas,2024EP,01-001-002,MEMO,1
Listas,2024EP,01-001-003,MEMO,3
Listas,2024EP,01-001-004,MEMO,1
Listas,2024EP,01-001-005,MEMO,3
Listas,2024EP,01-001-006,MEMO,0
Listas,2024EP,01-001-007,MEMO,1
Listas,2024EP,01-001-008,MEMO,2
Listas,2024EP,01-001-009,MEMO,1
Listas,2024EP,01-001-010,MEMO,2
Listas,2024EP,01-001-011,MEMO,3
Listas,2024EP,01-001-012,MEMO,0
Listas,2024EP,01-001-013,MEMO,3
Listas,2024EP,01-001-014,MEMO,3
Listas,2024EP,01-001-015,MEMO,0
Listas,2024EP,01-001-016,MEMO,1
Listas,2024EP,01-002-001,MEMO,1
Listas,2024EP,01-002-002,MEMO,1
Listas,2024EP,01-002-003,MEMO,0
Listas,2024EP,01-002-004,MEMO,5
Listas,2024EP,01-002-005,MEMO,3
Listas,2024EP,01-002-006,MEMO,1
Listas,2024EP,01-002-007,MEMO,0
Listas,2024EP,01-002-008,MEMO,1
Listas,2024EP,01-002-009,MEMO,4
Listas,2024EP,01-002-010,MEMO,0
Listas,2024EP,01-002-011,MEMO,1
Listas,2024EP,01-002-012,MEMO,0
Listas,2024EP,01-002-013,MEMO,1
Listas,2024EP,01-002-014,MEMO,2
Listas,2024EP,01-002-015,MEMO,0
Listas,2024EP,01-002-016,MEMO,2
Listas,2024EP,01-002-017,MEMO,0
Listas,2024EP,01-002-018,MEMO,0
Listas,2024EP,01-002-019,MEMO,0
Listas,2024EP,01-002-020,MEMO,0
Listas,2024EP,01-002-021,MEMO,3
Listas,2024EP,01-002-022,MEMO,2
Listas,2024EP,01-002-023,MEMO,0
Listas,2024EP,01-002-024,MEMO,1
Listas,2024EP,01-002-025,MEMO,1
Listas,2024EP,01-002-026,MEMO,2
Listas,2024EP,01-002-027,MEMO,1
Listas,2024EP,01-002-028,MEMO,0
Listas,2024EP,01-002-029,MEMO,0
Listas,2024EP,01-002-030,MEMO,0
Listas,2024EP,01-002-031,MEMO,1
Listas,2024EP,01-002-032,MEMO,1
Listas,2024EP,01-002-033,MEMO,0
Listas,2024EP,01-002-034,MEMO,0
Listas,2024EP,01-002-035,MEMO,3
Listas,2024EP,01-002-036,MEMO,2
Listas,2024EP,01-002-037,MEMO,3
Listas,2024EP,01-002-038,MEMO,2
Listas,2024EP,01-002-039,MEMO,2
Listas,2024EP,01-002-040,MEMO,0
Listas,2024EP,01-002-041,MEMO,0
Listas,2024EP,01-002-042,MEMO,1
Listas,2024EP,01-002-043,MEMO,1
Listas,2024EP,01-002-044,MEMO,3
Listas,2024EP,01-002-045,MEMO,1
Listas,2024EP,01-002-046,MEMO,2
Listas,2024EP,01-002-047,MEMO,2
Listas,2024EP,01-002-048,MEMO,2
Listas,2024EP,01-002-049,MEMO,1
Listas,2024EP,01-002-050,MEMO,1
Listas,2024EP,01-002-051,MEMO,1
Listas,2024EP,01-002-052,MEMO,3
Listas,2024EP,01-002-053,MEMO,0
Listas,2024EP,01-002-054,MEMO,1
Listas,2024EP,01-002-055,MEMO,0
Listas,2024EP,01-002-056,MEMO,0
Listas,2024EP,01-002-057,MEMO,0
Listas,2024EP,01-002-058,MEMO,3
Listas,2024EP,01-002-059,MEMO,2
Listas,2024EP,01-002-060,MEMO,0
Listas,2024EP,01-002-061,MEMO,0
Listas,2024EP,01-002-062,MEMO,0
Listas,2024EP,01-002-063,MEMO,2
Listas,2024EP,01-002-064,MEMO,3
Listas,2024EP,01-002-065,MEMO,1
Listas,2024EP,01-002-066,MEMO,2
Listas,2024EP,01-002-067,MEMO,4
Listas,2024EP,01-002-068,MEMO,1
Listas,2024EP,01-002-069,MEMO,0
Listas,2024EP,01-002-070,MEMO,4
Listas,2024EP,01-002-071,MEMO,1
Listas,2024EP,01-002-072,MEMO,2
Listas,2024EP,01-002-073,MEMO,0
Listas,2024EP,01-002-074,MEMO,0
Listas,2024EP,01-002-111,MEMO,1
Listas,2024EP,01-003-001,MEMO,0
Listas,2024EP,01-003-002,MEMO,1
Listas,2024EP,01-003-003,MEMO,3
Listas,2024EP,01-003-004,MEMO,3
Listas,2024EP,01-003-005,MEMO,0
Listas,2024EP,01-003-006,MEMO,4
Listas,2024EP,01-003-007,MEMO,3
Listas,2024EP,01-003-008,MEMO,2
Listas,2024EP,01-003-009,MEMO,2
Listas,2024EP,01-003-010,MEMO,1
Listas,2024EP,01-003-011,MEMO,6
Listas,2024EP,01-003-012,MEMO,0
Listas,2024EP,01-003-013,MEMO,0
Listas,2024EP,01-003-014,MEMO,5
Listas,2024EP,01-003-015,MEMO,0
Listas,2024EP,01-003-016,MEMO,2
Listas,2024EP,01-003-017,MEMO,0
Listas,2024EP,01-003-018,MEMO,2
Listas,2024EP,01-003-019,MEMO,4
Listas,2024EP,01-003-020,MEMO,0
Listas,2024EP,01-003-021,MEMO,5
Listas,2024EP,01-003-022,MEMO,2
Listas,2024EP,01-003-023,MEMO,0
Listas,2024EP,01-003-024,MEMO,0
Listas,2024EP,01-003-025,MEMO,1
