SZAVAZOKOR,MEGYE,TELEPULES,OEVK14,OEVK26,OEVK
01-001-001,BUDAPEST,Budapest I. kerület,01,01,01
01-001-002,BUDAPEST,Budapest I. kerület,01,01,01
01-001-003,BUDAPEST,Budapest I. kerület,01,01,01
01-001-004,BUDAPEST,Budapest I. kerület,01,01,01
01-001-005,BUDAPEST,Budapest I. kerület,01,01,01
01-001-006,BUDAPEST,Budapest I. kerület,01,01,01
01-001-007,BUDAPEST,Budapest I. kerület,01,01,01
01-001-008,BUDAPEST,Budapest I. kerület,01,01,01
01-001-009,BUDAPEST,Budapest I. kerület,01,01,01
01-001-010,BUDAPEST,Budapest I. kerület,01,01,01
01-001-011,BUDAPEST,Budapest I. kerület,01,01,01
01-001-012,BUDAPEST,Budapest I. kerület,01,01,01
01-001-013,BUDAPEST,Budapest I. kerület,01,01,01
01-001-014,BUDAPEST,Budapest I. kerület,01,01,01
01-001-015,BUDAPEST,Budapest I. kerület,01,01,01
01-001-016,BUDAPEST,Budapest I. kerület,01,01,01
01-002-001,BUDAPEST,Budapest II. kerület,04,04,04
01-002-002,BUDAPEST,Budapest II. kerület,04,04,04
01-002-003,BUDAPEST,Budapest II. kerület,04,04,04
01-002-004,BUDAPEST,Budapest II. kerület,04,04,04
01-002-005,BUDAPEST,Budapest II. kerület,04,04,04
01-002-006,BUDAPEST,Budapest II. kerület,04,04,04
01-002-007,BUDAPEST,Budapest II. kerület,04,04,04
01-002-008,BUDAPEST,Budapest II. kerület,04,04,04
01-002-009,BUDAPEST,Budapest II. kerület,04,04,04
01-002-010,BUDAPEST,Budapest II. kerület,04,04,04
01-002-011,BUDAPEST,Budapest II. kerület,04,04,04
01-002-012,BUDAPEST,Budapest II. kerület,04,04,04
01-002-013,BUDAPEST,Budapest II. kerület,04,04,04
01-002-014,BUDAPEST,Budapest II. kerület,04,04,04
01-002-015,BUDAPEST,Budapest II. kerület,04,04,04
01-002-016,BUDAPEST,Budapest II. kerület,04,04,04
01-002-017,BUDAPEST,Budapest II. kerület,04,04,04
01-002-018,BUDAPEST,Budapest II. kerület,04,04,04
01-002-019,BUDAPEST,Budapest II. kerület,04,04,04
01-002-020,BUDAPEST,Budapest II. kerület,04,04,04
01-002-021,BUDAPEST,Budapest II. kerület,04,04,04
01-002-022,BUDAPEST,Budapest II. kerület,04,04,04
01-002-023,BUDAPEST,Budapest II. kerület,04,04,04
01-002-024,BUDAPEST,Budapest II. kerület,04,04,04
01-002-025,BUDAPEST,Budapest II. kerület,04,04,04
01-002-026,BUDAPEST,Budapest II. kerület,04,04,04
01-002-027,BUDAPEST,Budapest II. kerület,04,04,04
01-002-028,BUDAPEST,Budapest II. kerület,04,04,04
01-002-029,BUDAPEST,Budapest II. kerület,04,04,04
01-002-030,BUDAPEST,Budapest II. kerület,04,04,04
01-002-031,BUDAPEST,Budapest II. kerület,04,04,04
01-002-032,BUDAPEST,Budapest II. kerület,04,04,04
01-002-033,BUDAPEST,Budapest II. kerület,04,04,04
01-002-034,BUDAPEST,Budapest II. kerület,04,04,04
01-002-035,BUDAPEST,Budapest II. kerület,04,04,04
01-002-036,BUDAPEST,Budapest II. kerület,04,04,04
01-002-037,BUDAPEST,Budapest II. kerület,04,04,04
01-002-038,BUDAPEST,Budapest II. kerület,04,04,04
01-002-039,BUDAPEST,Budapest II. kerület,04,04,04
01-002-040,BUDAPEST,Budapest II. kerület,04,04,04
01-002-041,BUDAPEST,Budapest II. kerület,04,04,04
01-002-042,BUDAPEST,Budapest II. kerület,04,04,04
01-002-043,BUDAPEST,Budapest II. kerület,04,04,04
01-002-044,BUDAPEST,Budapest II. kerület,04,04,04
01-002-045,BUDAPEST,Budapest II. kerület,04,04,04
01-002-046,BUDAPEST,Budapest II. kerület,04,04,04
01-002-047,BUDAPEST,Budapest II. kerület,04,04,04
01-002-048,BUDAPEST,Budapest II. kerület,04,04,04
01-002-049,BUDAPEST,Budapest II. kerület,04,04,04
01-002-050,BUDAPEST,Budapest II. kerület,03,04,03
01-002-051,BUDAPEST,Budapest II. kerület,03,04,03
01-002-052,BUDAPEST,Budapest II. kerület,03,04,03
01-002-053,BUDAPEST,Budapest II. kerület,03,04,03
01-002-054,BUDAPEST,Budapest II. kerület,03,04,03
01-002-055,BUDAPEST,Budapest II. kerület,03,04,03
01-002-056,BUDAPEST,Budapest II. kerület,03,04,03
01-002-057,BUDAPEST,Budapest II. kerület,03,04,03
01-002-058,BUDAPEST,Budapest II. kerület,03,04,03
01-002-059,BUDAPEST,Budapest II. kerület,03,04,03
01-002-060,BUDAPEST,Budapest II. kerület,03,04,03
01-002-061,BUDAPEST,Budapest II. kerület,03,04,03
01-002-062,BUDAPEST,Budapest II. kerület,03,04,03
01-002-063,BUDAPEST,Budapest II. kerület,03,04,03
01-002-064,BUDAPEST,Budapest II. kerület,03,04,03
01-002-065,BUDAPEST,Budapest II. kerület,03,04,03
01-002-066,BUDAPEST,Budapest II. kerület,03,04,03
01-002-067,BUDAPEST,Budapest II. kerület,03,04,03
01-002-068,BUDAPEST,Budapest II. kerület,03,04,03
01-002-069,BUDAPEST,Budapest II. kerület,03,04,03
01-002-070,BUDAPEST,Budapest II. kerület,03,04,03
01-002-071,BUDAPEST,Budapest II. kerület,03,04,03
01-002-072,BUDAPEST,Budapest II. kerület,03,04,03
01-002-073,BUDAPEST,Budapest II. kerület,03,04,03
01-002-074,BUDAPEST,Budapest II. kerület,03,04,03
01-002-111,BUDAPEST,Budapest II. kerület,,,
01-003-001,BUDAPEST,Budapest III. kerület,04,04,04
01-003-002,BUDAPEST,Budapest III. kerület,04,04,04
01-003-003,BUDAPEST,Budapest III. kerület,04,11,04
01-003-004,BUDAPEST,Budapest III. kerület,04,04,04
01-003-005,BUDAPEST,Budapest III. kerület,04,04,04
01-003-006,BUDAPEST,Budapest III. kerület,04,04,04
01-003-007,BUDAPEST,Budapest III. kerület,04,11,04
01-003-008,BUDAPEST,Budapest III. kerület,04,04,04
01-003-009,BUDAPEST,Budapest III. kerület,04,04,04
01-003-010,BUDAPEST,Budapest III. kerület,04,04,04
01-003-011,BUDAPEST,Budapest III. kerület,04,04,04
01-003-012,BUDAPEST,Budapest III. kerület,04,04,04
01-003-013,BUDAPEST,Budapest III. kerület,04,04,04
01-003-014,BUDAPEST,Budapest III. kerület,04,04,04
01-003-015,BUDAPEST,Budapest III. kerület,04,04,04
01-003-016,BUDAPEST,Budapest III. kerület,04,04,04
01-003-017,BUDAPEST,Budapest III. kerület,04,04,04
01-003-018,BUDAPEST,Budapest III. kerület,04,04,04
01-003-019,BUDAPEST,Budapest III. kerület,04,04,04
01-003-020,BUDAPEST,Budapest III. kerület,04,04,04
01-003-021,BUDAPEST,Budapest III. kerület,04,11,04
01-003-022,BUDAPEST,Budapest III. kerület,04,11,04
01-003-023,BUDAPEST,Budapest III. kerület,04,11,04
01-003-024,BUDAPEST,Budapest III. kerület,04,11,04
01-003-025,BUDAPEST,Budapest III. kerület,04,11,04
01-003-026,BUDAPEST,Budapest III. kerület,04,11,04
01-003-027,BUDAPEST,Budapest III. kerület,04,11,04
01-003-028,BUDAPEST,Budapest III. kerület,04,11,04
01-003-029,BUDAPEST,Budapest III. kerület,04,11,04
01-003-030,BUDAPEST,Budapest III. kerület,04,11,04
01-003-031,BUDAPEST,Budapest III. kerület,10,11,10
01-003-032,BUDAPEST,Budapest III. kerület,10,11,10
01-003-033,BUDAPEST,Budapest III. kerület,10,11,10
01-003-034,BUDAPEST,Budapest III. kerület,10,11,10
